row	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000001626.18	11.0615090927087	5.93459308105905	1.39985751441271	4.23942652731253	2.2409152146332e-05	0.00039644426517702
ENSG00000002587.10	21.6476037811307	4.98348965031195	1.05564692845706	4.72079207164068	2.34928001164178e-06	5.61029052904231e-05
ENSG00000003989.18	276.453441204726	2.14293982507139	0.332301193413413	6.44878762865403	1.12748421073158e-10	6.8244704679753e-09
ENSG00000004848.8	12.3718221619725	3.51065189107217	0.955051667288789	3.6758764068108	0.000237034265006661	0.0028803254626567
ENSG00000005844.19	16.1894589081208	3.68960511607986	0.877827930946905	4.20310744965692	2.63275535265264e-05	0.000454079525339229
ENSG00000006210.7	15.7934430668526	4.52092263075394	0.969066460578051	4.66523485711929	3.08264750037258e-06	7.12302510050076e-05
ENSG00000006611.17	68.9643822270947	4.39580004331099	0.530063761151132	8.29296466856119	1.10460159034857e-16	1.57491640081699e-14
ENSG00000009950.16	50.1056652963955	3.30186259688243	0.556659153992406	5.93156974640801	3.00052052388654e-09	1.4155396824453e-07
ENSG00000012124.17	16.2494311113022	-4.55781836592637	1.08015147310893	-4.21961037817028	2.44724885418828e-05	0.000426672517621522
ENSG00000015413.10	16.9891556725612	2.67022709242574	0.736852508453918	3.62382846199232	0.00029027416055586	0.00338823350053316
ENSG00000034239.11	12.1193263905786	-4.11689144177659	1.12997212441135	-3.64335663936955	0.000269105563354817	0.00318361640040168
ENSG00000043591.6	53.6490360281764	1.48468862381646	0.38364208747304	3.86998369651192	0.000108842631765613	0.00150395044955098
ENSG00000053108.17	58.5264587336483	3.16883703606545	0.561014084424149	5.6484090578904	1.61939479743439e-08	6.58987548858712e-07
ENSG00000054179.12	34.6700991651142	6.695932576843	1.14046545394829	5.87122788652798	4.32579160044877e-09	1.96838857506945e-07
ENSG00000055118.17	14.3303903868421	3.12059270789423	0.828390574236396	3.76705482286633	0.000165184736951029	0.00211771742021127
ENSG00000057593.14	13.22845400497	5.27242474141445	1.29518461884148	4.07079011340526	4.68539502203408e-05	0.00074409639755868
ENSG00000064787.14	94.137211618825	4.85841727509502	0.527187166983425	9.21573509251937	3.09152674064912e-20	6.61174518933492e-18
ENSG00000064886.14	22.9331323095166	-6.09845413827754	1.27510771359016	-4.7826972366961	1.72958537675505e-06	4.32351419893262e-05
ENSG00000065413.20	552.38846485718	-1.32951424845904	0.393258160777039	-3.38076709160225	0.000722837851280069	0.00722387485017589
ENSG00000065621.15	188.25916405591	-1.75969650063634	0.260830004422955	-6.74652636121903	1.51426565915148e-11	1.08351618614675e-09
ENSG00000067445.22	222.819348933077	-1.38614096346611	0.323825241349901	-4.28052167177527	1.86455728212008e-05	0.000339857940968252
ENSG00000067840.13	56.9127059996	2.85639581802929	0.505159286826725	5.65444582039143	1.56349905698957e-08	6.40302762743305e-07
ENSG00000067842.19	20.7493178750154	4.10481229145513	1.00754495055937	4.07407360751123	4.61978695799169e-05	0.000736981798423572
ENSG00000069431.14	74.1362614741136	-4.5031855648698	0.478994339911048	-9.40133356420468	5.38758377301107e-21	1.29625265578646e-18
ENSG00000072071.17	239.152901548209	1.40312914495151	0.29072607094192	4.82629280685259	1.39097959686103e-06	3.57255391764305e-05
ENSG00000072858.11	45.463981861819	5.75878812018867	0.771864656042109	7.46087811523591	8.59477308472757e-14	7.991893349509e-12
ENSG00000073282.14	170.986716514669	1.90730424866567	0.45010648628075	4.23745115167259	2.26071584057003e-05	0.000399040412228098
ENSG00000076826.10	167.367827917735	3.12661008328321	0.443300767289786	7.05302204279594	1.75073103411575e-12	1.36984028230325e-10
ENSG00000080854.16	78.7474612562664	1.63429204994987	0.427664737524117	3.82143278730738	0.000132678576537262	0.0017707190125667
ENSG00000081148.12	10.1612428360552	-4.89702356747222	1.44261798418812	-3.39453938682747	0.000687441509806441	0.006956821335833
ENSG00000082397.18	16.282548210982	7.47702427655037	1.35141142103523	5.53275202515507	3.1524500506086e-08	1.19917704691926e-06
ENSG00000085831.16	70.1729612084177	2.19226799301389	0.356388155309226	6.15134919709028	7.68265549654587e-10	4.09628124646856e-08
ENSG00000086548.9	11.7598190939526	7.00689721397559	1.53638703030971	4.56063288464698	5.09996759275554e-06	0.000110420895641573
ENSG00000089250.20	7.71898193119198	6.40034907500151	1.53531478658901	4.16875362037064	3.0626983605314e-05	0.000519848483628822
ENSG00000099617.4	34.4994526822336	1.8212321987137	0.474814929187789	3.83566751329632	0.000125223720945413	0.00169144293386477
ENSG00000100234.12	28.0283055260494	5.79022576524648	0.961110358682811	6.02451707333787	1.69615300195065e-09	8.45791528019332e-08
ENSG00000100311.17	132.669550921226	2.91449223590828	0.430241128609029	6.77409025336756	1.25191505427703e-11	8.99136603161353e-10
ENSG00000101203.17	25.0420869577507	2.49337566105088	0.694112323879067	3.59217892446654	0.000327924563102831	0.00374148902821772
ENSG00000101276.18	17.5131914309877	3.84104904127224	1.0348300567058	3.71176795299081	0.000205816631508383	0.00255255059489262
ENSG00000102003.12	89.859840899687	1.34418420456876	0.330900255320027	4.06220358841593	4.86116525247726e-05	0.000765693197869741
ENSG00000103154.10	73.7109677790532	1.24725524183163	0.309017094391177	4.0362014415059	5.43235781539619e-05	0.000839181566859919
ENSG00000103316.12	55.5791915194378	2.0153825854583	0.495551511027486	4.06694872401774	4.76327186357315e-05	0.000752737740805058
ENSG00000103460.17	13.0367834997548	6.17609391729194	1.37752434164689	4.48347352607081	7.34377173388928e-06	0.000151179591800963
